,age,height,weight,Time,Year,Value,Previous marathons,Last Time
0,28,-1.0,-1.0,8453,2021,24078931933.4578,,
1,29,164.0,52.0,7982,2021,317744784695.1,,
2,35,175.0,61.0,8203,2021,,,
3,30,176.0,60.0,8644,2021,1204616439828.41,,
4,28,-1.0,-1.0,9008,2021,4940158776617.16,,
5,30,-1.0,-1.0,7970,2021,2465453975282.24,,
6,28,162.0,50.0,8532,2021,192207342004.681,,
7,30,168.0,58.0,8436,2021,1411245589976.63,,
8,32,182.0,62.0,8168,2021,,,
9,30,170.0,53.0,7841,2021,4940158776617.16,,
10,32,178.0,65.0,8923,2021,1529760492201.35,,
11,37,167.0,57.0,7718,2021,70529014778.3251,7.0,7440.0
12,28,-1.0,-1.0,8002,2021,,,
13,29,-1.0,-1.0,8460,2021,863711710426.514,,
14,42,170.0,55.0,8768,2021,1796186586414.45,,
15,31,170.0,62.0,8264,2021,3007029030.4001,,
16,32,-1.0,-1.0,8320,2021,2465453975282.24,,
17,35,-1.0,-1.0,8570,2021,471364408713.956,,
18,23,-1.0,-1.0,8042,2021,,,
19,30,-1.0,-1.0,8308,2021,10947880690.471,,
20,29,-1.0,-1.0,7918,2021,103606321692.582,,
21,39,-1.0,-1.0,8384,2021,1858913163927.72,,
22,26,-1.0,-1.0,8195,2021,545476103427.247,,
23,35,177.0,57.0,8868,2021,304819020500.641,,
24,34,170.0,55.0,8495,2021,11199145157649.2,,
25,32,185.0,62.0,8224,2021,184969146624.47,,
26,32,-1.0,-1.0,8492,2021,1046922702460.87,,
27,31,-1.0,-1.0,8621,2021,1046922702460.87,,
28,25,-1.0,-1.0,8319,2021,24078931933.4578,,
29,33,-1.0,-1.0,8186,2021,18624475000000.0,,
30,32,182.0,66.0,7933,2021,467955709817.539,,
31,32,-1.0,-1.0,8121,2021,1237255019653.86,,
32,29,-1.0,-1.0,8819,2021,,,
33,32,176.0,56.0,7800,2021,467955709817.539,,
34,29,-1.0,-1.0,8397,2021,1529760492201.35,,
35,25,-1.0,-1.0,8526,2021,467955709817.539,,
36,31,-1.0,-1.0,8239,2021,471364408713.956,,
37,33,-1.0,-1.0,8073,2021,2465453975282.24,,
38,29,-1.0,55.0,7895,2021,,,
39,23,-1.0,-1.0,8217,2021,,,
40,28,-1.0,-1.0,8443,2021,,,
41,44,178.0,61.0,8307,2021,18624475000000.0,,
42,29,-1.0,-1.0,8703,2021,,,
43,29,-1.0,-1.0,8111,2021,1858913163927.72,,
44,38,-1.0,-1.0,8202,2021,1237255019653.86,,
45,32,165.0,54.0,7798,2021,,,
46,29,-1.0,-1.0,8543,2021,4940158776617.16,,
47,34,184.0,-1.0,8592,2021,184969146624.47,,
48,34,169.0,58.0,9202,2021,55187700000.0,,
49,38,181.0,70.0,8737,2021,23337907618.5174,,
50,37,171.0,61.0,8156,2021,11400653731.9916,,
51,32,-1.0,-1.0,7942,2021,103606321692.582,,
52,31,178.0,75.0,8314,2021,,,
53,31,-1.0,-1.0,9111,2021,1046922702460.87,,
54,25,-1.0,-1.0,8199,2021,11199145157649.2,,
55,31,169.0,58.0,8492,2021,,,
56,33,-1.0,-1.0,7802,2021,70529014778.3251,2.0,
57,30,175.0,57.0,8150,2021,,,
58,26,-1.0,-1.0,8193,2021,,,
59,40,178.0,67.0,8489,2021,2647898654635.24,,
60,35,178.0,64.0,8151,2021,1204616439828.41,,
61,27,-1.0,-1.0,9876,2021,,,
62,32,-1.0,-1.0,8134,2021,,,
63,28,-1.0,-1.0,8088,2021,103606321692.582,,
64,36,184.0,70.0,8176,2021,23337907618.5174,,
65,34,-1.0,-1.0,8535,2021,390799991147.468,,
66,30,178.0,62.0,8279,2021,371076190476.19,,
67,25,-1.0,-1.0,8367,2021,1529760492201.35,,
68,30,-1.0,-1.0,8009,2021,282462551366.878,,
69,35,181.0,61.0,7901,2021,18624475000000.0,,
70,34,-1.0,-1.0,8177,2021,317744784695.1,,
71,40,172.0,52.0,7816,2021,1237255019653.86,,
72,31,-1.0,-1.0,8237,2021,317744784695.1,,
73,38,175.0,59.0,8505,2021,304819020500.641,,
74,29,-1.0,-1.0,8098,2021,11199145157649.2,,
75,31,-1.0,-1.0,8475,2021,545476103427.247,,
